Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",4.5,"(+/- 5.7 )",1.5,"(+/- 1.8 )",2.2,"(+/- 2.5 )",5.2,"(+/- 3.3 )",0.7,"(+/- 0.8 )",2.8,"(+/- 3.0 )",0.8,"(+/- 1.0 )",8.1,"(+/- 4.0 )",6.0,"(+/- 3.2 )",6.8,"(+/- 4.3 )",0.6,"(+/- 0.7 )",1.2,"(+/- 1.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no husband present",24.8,"(+/- 4.0 )",22.3,"(+/- 4.1 )",14.3,"(+/- 3.6 )",13.4,"(+/- 4.7 )",14.0,"(+/- 4.4 )",21.1,"(+/- 3.7 )",13.8,"(+/- 4.2 )",27.2,"(+/- 3.9 )",23.5,"(+/- 3.9 )",25.4,"(+/- 3.3 )",12.0,"(+/- 4.0 )",18.9,"(+/- 4.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",34.1,"(+/- 5.4 )",31.4,"(+/- 6.0 )",21.5,"(+/- 5.7 )",21.3,"(+/- 7.5 )",20.3,"(+/- 7.7 )",36.2,"(+/- 6.6 )",23.0,"(+/- 7.2 )",39.3,"(+/- 5.6 )",36.5,"(+/- 6.2 )",34.6,"(+/- 4.7 )",22.8,"(+/- 8.5 )",31.4,"(+/- 8.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",41.4,"(+/- 18.1 )",39.1,"(+/- 18.8 )",10.1,"(+/- 9.7 )",21.1,"(+/- 22.3 )",11.7,"(+/- 12.2 )",28.5,"(+/- 15.3 )",25.4,"(+/- 24.6 )",36.8,"(+/- 14.7 )",35.2,"(+/- 13.7 )",37.6,"(+/- 14.0 )",6.7,"(+/- 11.6 )",58.1,"(+/- 22.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",12.0,"(+/- 1.0 )",11.3,"(+/- 1.1 )",6.3,"(+/- 0.8 )",7.8,"(+/- 1.1 )",4.6,"(+/- 0.8 )",10.2,"(+/- 1.1 )",4.4,"(+/- 0.6 )",14.7,"(+/- 1.3 )",13.1,"(+/- 1.2 )",16.2,"(+/- 1.5 )",4.9,"(+/- 1.0 )",8.6,"(+/- 1.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",17.1,"(+/- 2.5 )",16.6,"(+/- 2.8 )",8.3,"(+/- 1.9 )",12.6,"(+/- 2.5 )",4.6,"(+/- 1.6 )",15.6,"(+/- 2.5 )",4.6,"(+/- 1.3 )",22.2,"(+/- 3.2 )",20.0,"(+/- 2.7 )",23.3,"(+/- 3.8 )",7.2,"(+/- 2.6 )",10.9,"(+/- 2.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",16.5,"(+/- 2.5 )",16.4,"(+/- 2.8 )",8.2,"(+/- 1.9 )",12.4,"(+/- 2.5 )",4.4,"(+/- 1.6 )",15.5,"(+/- 2.5 )",4.4,"(+/- 1.3 )",22.1,"(+/- 3.3 )",19.9,"(+/- 2.7 )",23.1,"(+/- 3.9 )",7.1,"(+/- 2.6 )",10.8,"(+/- 2.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",20.0,"(+/- 4.6 )",16.2,"(+/- 4.0 )",8.2,"(+/- 2.9 )",15.1,"(+/- 4.5 )",5.2,"(+/- 2.6 )",17.7,"(+/- 4.3 )",3.5,"(+/- 2.0 )",23.6,"(+/- 5.1 )",19.7,"(+/- 3.7 )",25.8,"(+/- 7.2 )",5.5,"(+/- 3.2 )",15.4,"(+/- 6.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",15.2,"(+/- 2.7 )",16.4,"(+/- 3.1 )",8.1,"(+/- 2.1 )",11.4,"(+/- 2.6 )",4.2,"(+/- 1.5 )",14.6,"(+/- 2.5 )",4.7,"(+/- 1.5 )",21.3,"(+/- 3.2 )",19.9,"(+/- 3.1 )",22.1,"(+/- 3.5 )",7.6,"(+/- 2.8 )",9.2,"(+/- 2.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",10.5,"(+/- 0.8 )",9.9,"(+/- 0.9 )",5.7,"(+/- 0.6 )",6.3,"(+/- 0.8 )",4.6,"(+/- 0.7 )",8.6,"(+/- 0.8 )",4.3,"(+/- 0.5 )",12.6,"(+/- 1.0 )",11.1,"(+/- 1.1 )",14.1,"(+/- 1.0 )",4.2,"(+/- 0.6 )",7.9,"(+/- 0.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",7.2,"(+/- 1.4 )",8.2,"(+/- 1.3 )",5.0,"(+/- 1.0 )",5.9,"(+/- 1.2 )",5.9,"(+/- 1.3 )",8.1,"(+/- 1.3 )",5.7,"(+/- 1.1 )",14.7,"(+/- 2.4 )",12.4,"(+/- 2.1 )",14.8,"(+/- 2.1 )",4.2,"(+/- 0.9 )",8.8,"(+/- 1.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",8.8,"(+/- 1.2 )",9.0,"(+/- 1.3 )",4.6,"(+/- 0.8 )",6.8,"(+/- 1.3 )",3.1,"(+/- 0.8 )",8.2,"(+/- 1.2 )",2.8,"(+/- 0.6 )",12.8,"(+/- 1.6 )",11.6,"(+/- 1.3 )",13.7,"(+/- 2.0 )",3.8,"(+/- 1.1 )",5.5,"(+/- 1.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",25.3,"(+/- 2.6 )",22.4,"(+/- 2.4 )",15.2,"(+/- 1.9 )",13.2,"(+/- 1.9 )",14.1,"(+/- 1.9 )",20.9,"(+/- 2.2 )",15.1,"(+/- 2.2 )",21.2,"(+/- 1.9 )",21.4,"(+/- 2.0 )",26.4,"(+/- 2.2 )",11.1,"(+/- 1.6 )",25.2,"(+/- 3.0 )"
Education,"School Enrollment","Population 3 years and over enrolled in school",185564,"(+/- 5356 )",158668,"(+/- 4934 )",169375,"(+/- 6311 )",187749,"(+/- 6398 )",184515,"(+/- 6436 )",193359,"(+/- 6100 )",187651,"(+/- 5991 )",172271,"(+/- 7574 )",182482,"(+/- 6736 )",200444,"(+/- 7177 )",180799,"(+/- 6088 )",191281,"(+/- 7672 )"
Education,"School Enrollment","Nursery school, preschool",12421,"(+/- 1580 )",9051,"(+/- 1465 )",12522,"(+/- 1695 )",12864,"(+/- 1577 )",13600,"(+/- 1825 )",13688,"(+/- 1981 )",16385,"(+/- 2421 )",14206,"(+/- 2537 )",11090,"(+/- 1866 )",18084,"(+/- 2925 )",15395,"(+/- 2046 )",13020,"(+/- 2418 )"
Education,"School Enrollment",Kindergarten,7742,"(+/- 1638 )",6390,"(+/- 1246 )",8746,"(+/- 1753 )",10075,"(+/- 1855 )",9263,"(+/- 1515 )",8708,"(+/- 1678 )",8238,"(+/- 1383 )",8666,"(+/- 1490 )",10499,"(+/- 1622 )",10136,"(+/- 1569 )",8692,"(+/- 1492 )",8906,"(+/- 1696 )"
Education,"School Enrollment","Elementary school (grades 1-8)",77223,"(+/- 2659 )",68951,"(+/- 2892 )",68418,"(+/- 3338 )",82538,"(+/- 4310 )",73462,"(+/- 3498 )",67461,"(+/- 3845 )",72665,"(+/- 4273 )",68769,"(+/- 4614 )",75660,"(+/- 4359 )",78643,"(+/- 3864 )",70267,"(+/- 4023 )",76148,"(+/- 4772 )"
Education,"School Enrollment","High school (grades 9-12)",34699,"(+/- 1612 )",34308,"(+/- 2216 )",37904,"(+/- 2718 )",42198,"(+/- 2891 )",42718,"(+/- 2975 )",37073,"(+/- 2668 )",47646,"(+/- 3065 )",32172,"(+/- 2755 )",38711,"(+/- 3129 )",38170,"(+/- 3054 )",39990,"(+/- 2603 )",37320,"(+/- 2591 )"
Education,"School Enrollment","College or graduate school",53479,"(+/- 4523 )",39968,"(+/- 3462 )",41785,"(+/- 3137 )",40074,"(+/- 3799 )",45472,"(+/- 3736 )",66429,"(+/- 3353 )",42717,"(+/- 3734 )",48458,"(+/- 3781 )",46522,"(+/- 3684 )",55411,"(+/- 5333 )",46455,"(+/- 3235 )",55887,"(+/- 5053 )"
Education,"Educational Attainment","Population 25 years and over",503965,"(+/- 4760 )",500738,"(+/- 5106 )",530057,"(+/- 4182 )",511097,"(+/- 6509 )",510715,"(+/- 7363 )",495748,"(+/- 6511 )",508978,"(+/- 7271 )",532943,"(+/- 8369 )",531263,"(+/- 7826 )",513776,"(+/- 8601 )",526416,"(+/- 7819 )",523547,"(+/- 7244 )"
Education,"Educational Attainment","Less than 9th grade",20601,"(+/- 3133 )",23449,"(+/- 3410 )",13354,"(+/- 1998 )",11069,"(+/- 2593 )",14914,"(+/- 2380 )",26830,"(+/- 2943 )",13212,"(+/- 2032 )",62929,"(+/- 5719 )",40564,"(+/- 3863 )",32582,"(+/- 3864 )",10538,"(+/- 1524 )",20284,"(+/- 3636 )"
Education,"Educational Attainment","9th to 12th grade, no diploma",30454,"(+/- 3138 )",36232,"(+/- 3157 )",24749,"(+/- 2956 )",22049,"(+/- 3328 )",14970,"(+/- 2075 )",28064,"(+/- 3175 )",15530,"(+/- 2213 )",38769,"(+/- 3695 )",30063,"(+/- 3021 )",33202,"(+/- 3936 )",13208,"(+/- 2043 )",29880,"(+/- 3643 )"
Education,"Educational Attainment","High school graduate (includes equivalency)",149209,"(+/- 5278 )",165342,"(+/- 5975 )",157519,"(+/- 5082 )",131266,"(+/- 5924 )",114774,"(+/- 5087 )",131229,"(+/- 5646 )",97083,"(+/- 5342 )",145206,"(+/- 7084 )",160174,"(+/- 7185 )",155692,"(+/- 7060 )",105021,"(+/- 5728 )",116883,"(+/- 7084 )"
Education,"Educational Attainment","Some college, no degree",105106,"(+/- 5544 )",96865,"(+/- 5101 )",109105,"(+/- 4603 )",86310,"(+/- 5728 )",78164,"(+/- 4117 )",77694,"(+/- 3727 )",73533,"(+/- 4964 )",70095,"(+/- 4856 )",86663,"(+/- 5316 )",94566,"(+/- 5263 )",65517,"(+/- 4093 )",74486,"(+/- 5089 )"
Education,"Educational Attainment","Associate's degree",37901,"(+/- 3453 )",41337,"(+/- 3255 )",41961,"(+/- 2849 )",40016,"(+/- 3338 )",37796,"(+/- 3609 )",33329,"(+/- 2801 )",28260,"(+/- 2579 )",26236,"(+/- 3011 )",28482,"(+/- 2737 )",32490,"(+/- 3063 )",30846,"(+/- 2678 )",30599,"(+/- 2877 )"
Education,"Educational Attainment","Bachelor's degree",100747,"(+/- 4207 )",88411,"(+/- 4184 )",119625,"(+/- 4644 )",138674,"(+/- 5640 )",157028,"(+/- 7118 )",121137,"(+/- 5778 )",155880,"(+/- 5437 )",115667,"(+/- 5352 )",123113,"(+/- 6682 )",104600,"(+/- 6771 )",171482,"(+/- 6444 )",138957,"(+/- 5745 )"
Education,"Educational Attainment","Graduate or professional degree",59947,"(+/- 4118 )",49102,"(+/- 3700 )",63744,"(+/- 3271 )",81713,"(+/- 4085 )",93069,"(+/- 4953 )",77465,"(+/- 4096 )",125480,"(+/- 5544 )",74041,"(+/- 4074 )",62204,"(+/- 3923 )",60644,"(+/- 3907 )",129804,"(+/- 5119 )",112458,"(+/- 4508 )"
Education,"Educational Attainment","Percent high school graduate or higher",89.9,"(+/- 0.8 )",88.1,"(+/- 0.9 )",92.8,"(+/- 0.7 )",93.5,"(+/- 0.8 )",94.1,"(+/- 0.7 )",88.9,"(+/- 0.8 )",94.4,"(+/- 0.6 )",80.9,"(+/- 1.0 )",86.7,"(+/- 0.9 )",87.2,"(+/- 1.0 )",95.5,"(+/- 0.5 )",90.4,"(+/- 1.0 )"
Education,"Educational Attainment","Percent bachelor's degree or higher",31.9,"(+/- 1.1 )",27.5,"(+/- 1.1 )",34.6,"(+/- 1.0 )",43.1,"(+/- 1.2 )",49.0,"(+/- 1.3 )",40.1,"(+/- 1.3 )",55.3,"(+/- 1.3 )",35.6,"(+/- 1.1 )",34.9,"(+/- 1.3 )",32.2,"(+/- 1.5 )",57.2,"(+/- 1.2 )",48.0,"(+/- 1.3 )"
